"","type","id","totalLengths","suitLengths","mean","up","low","sd","samplingType","serviceLife","cost","performance"
"30","poles","poles-experimental-half",15.754238,3.254219,4.23529079660257,11.9807326505812,-3.5101510573761,3.87272092698934,"geometric-progression-double",25,16815,0.12
"31","poles","poles-steel",18.754238,6.254219,8.72197432190327,23.8885164484301,-6.44456780462357,7.58327106326342,"geometric-progression-double",50,2243.32,0.12
"32","poles","poles-steel-half",15.754238,3.254219,4.23529079660257,11.9807326505812,-3.5101510573761,3.87272092698934,"geometric-progression-double",50,4486.64,0.12
"33","snags","snags-0",130.556532,43.227827,37.0236516983347,48.56021353968,25.4870898569895,5.76828092067263,"linear-less-than-five",25,24294,0.29
"34","snags","snags-1",51.777019,9.666074,18.3081829148822,27.7392075953367,8.87715823442767,4.71551234022727,"linear-less-than-five",25,24294,0.29
"35","snags","snags-2",53.4159000000001,11.303187,16.4598262126756,20.2155679400248,12.7040844853264,1.8778708636746,"linear-less-than-five",25,24294,0.29
"36","snags","snags-3",130.556532,43.227827,37.0236516983347,48.56021353968,25.4870898569895,5.76828092067263,"linear-less-than-five",25,12147,0.29
"37","poles","poles-experimental",18.754238,6.254219,4.63054588607112,7.14496778140853,2.1161239907337,1.25721094766871,"linear-less-than-five",25,16815,0.12
"38","poles","poles-experimental-half",15.754238,3.254219,2.12369805123236,3.49779491878471,0.749601183680005,0.687048433776177,"linear-less-than-five",25,16815,0.12
"39","poles","poles-steel",18.754238,6.254219,4.63054588607112,7.14496778140853,2.1161239907337,1.25721094766871,"linear-less-than-five",50,2243.32,0.12
"40","poles","poles-steel-half",15.754238,3.254219,2.12369805123236,3.49779491878471,0.749601183680005,0.687048433776177,"linear-less-than-five",50,4486.64,0.12
